Beats.Per.Minute,Energy,danceability,Genre
117,0.55,0.76,86
105,0.81,0.79,97
190,0.8,0.4,21
93,0.65,0.64,86
150,0.65,0.58,52
102,0.68,0.8,86
180,0.64,0.75,52
111,0.68,0.48,86
136,0.62,0.88,20
135,0.43,0.7,32
176,0.62,0.61,97
96,0.71,0.82,21
110,0.41,0.5,86
176,0.79,0.73,86
101,0.5,0.83,52
93,0.45,0.7,21
176,0.65,0.75,69
90,0.48,0.76,52
130,0.39,0.84,52
158,0.62,0.72,86
124,0.74,0.68,86
154,0.59,0.7,20
92,0.79,0.81,97
92,0.78,0.8,69
135,0.45,0.67,32
124,0.82,0.69,86
98,0.59,0.82,86
96,0.46,0.73,52
94,0.86,0.74,69
93,0.79,0.64,69
85,0.51,0.29,31
140,0.32,0.78,21
96,0.71,0.78,97
98,0.59,0.8,52
100,0.88,0.77,21
114,0.72,0.66,31
176,0.7,0.75,86
152,0.82,0.72,86
138,0.73,0.84,86
95,0.56,0.81,21
104,0.68,0.69,31
85,0.68,0.77,86
96,0.39,0.57,21
136,0.4,0.9,86
98,0.69,0.88,114
88,0.62,0.66,31
176,0.75,0.67,69
100,0.79,0.69,31
104,0.7,0.59,31
95,0.79,0.75,86
78.723,0.313,0.428,67